Catchment,FU,Area
SC #194,Grazing Forested,59586674.2883148
SC #194,Grazing Open,48782611.6275558
SC #194,Water,93990.4325942993
SC #194,Other,67120.4187164307
SC #194,Sugarcane,0
SC #194,Irrigated Cropping,0
SC #194,Horticulture,0
SC #194,Conservation,457543.219467163
SC #194,Urban,1472039.67362213
SC #194,Dryland Cropping,0
SC #194,Forestry,0
SC #191,Grazing Forested,86273651.0957794
SC #191,Grazing Open,29952032.5627289
SC #191,Water,1017653.97489929
SC #191,Other,106200.307090759
SC #191,Sugarcane,0
SC #191,Irrigated Cropping,0
SC #191,Horticulture,102517.501960754
SC #191,Conservation,32443827.1872101
SC #191,Urban,0
SC #191,Dryland Cropping,898711.07837677
SC #191,Forestry,0
SC #207,Grazing Forested,5649329.26620483
SC #207,Grazing Open,20216895.9485779
SC #207,Water,0
SC #207,Other,1319521.65126038
SC #207,Sugarcane,0
SC #207,Irrigated Cropping,0
SC #207,Horticulture,914531.423278809
SC #207,Conservation,641783.19670105
SC #207,Urban,3897938.51394653
SC #207,Dryland Cropping,0
SC #207,Forestry,0
SC #231,Grazing Forested,1250834.56025696
SC #231,Grazing Open,1884819.81489563
SC #231,Water,261029.652923584
SC #231,Other,515222.614135742
SC #231,Sugarcane,0
SC #231,Irrigated Cropping,0
SC #231,Horticulture,328063.395187378
SC #231,Conservation,3492826.38421631
SC #231,Urban,4987203.57847595
SC #231,Dryland Cropping,0
SC #231,Forestry,0
SC #217,Grazing Forested,10067476.9772797
SC #217,Grazing Open,24383445.9296112
SC #217,Water,29802735.1936188
SC #217,Other,642151.096450806
SC #217,Sugarcane,0
SC #217,Irrigated Cropping,0
SC #217,Horticulture,29356.0108642578
SC #217,Conservation,61986737.8292999
SC #217,Urban,6268096.96281433
SC #217,Dryland Cropping,0
SC #217,Forestry,0
SC #242,Grazing Forested,13087512.9502411
SC #242,Grazing Open,34819504.5193176
SC #242,Water,2144947.65119934
SC #242,Other,0
SC #242,Sugarcane,0
SC #242,Irrigated Cropping,0
SC #242,Horticulture,0
SC #242,Conservation,15159170.8247375
SC #242,Urban,108864.054534912
SC #242,Dryland Cropping,0
SC #242,Forestry,0
SC #282,Grazing Forested,134318.805053711
SC #282,Grazing Open,545470.768554688
SC #282,Water,4726934.87237549
SC #282,Other,0
SC #282,Sugarcane,0
SC #282,Irrigated Cropping,0
SC #282,Horticulture,0
SC #282,Conservation,2553275.55401611
SC #282,Urban,0
SC #282,Dryland Cropping,0
SC #282,Forestry,0
SC #280,Grazing Forested,7272669.49305725
SC #280,Grazing Open,63490529.0540619
SC #280,Water,1026678.03985596
SC #280,Other,495246.215591431
SC #280,Sugarcane,0
SC #280,Irrigated Cropping,418361.49760437
SC #280,Horticulture,433026.511535645
SC #280,Conservation,22713479.6607819
SC #280,Urban,0
SC #280,Dryland Cropping,0
SC #280,Forestry,0
SC #290,Grazing Forested,28008289.7769623
SC #290,Grazing Open,84029503.3010101
SC #290,Water,120260.342483521
SC #290,Other,34292.1949310303
SC #290,Sugarcane,0
SC #290,Irrigated Cropping,217039.022994995
SC #290,Horticulture,337446.528076172
SC #290,Conservation,35303168.8336029
SC #290,Urban,0
SC #290,Dryland Cropping,0
SC #290,Forestry,0
SC #256,Grazing Forested,20443730.1868896
SC #256,Grazing Open,16181371.953125
SC #256,Water,3840964.21862793
SC #256,Other,133472.339645386
SC #256,Sugarcane,0
SC #256,Irrigated Cropping,0
SC #256,Horticulture,1609235.97903442
SC #256,Conservation,6391225.32267761
SC #256,Urban,0
SC #256,Dryland Cropping,0
SC #256,Forestry,0
SC #285,Grazing Forested,49409593.2648315
SC #285,Grazing Open,43866364.4304962
SC #285,Water,13887.5610961914
SC #285,Other,0
SC #285,Sugarcane,0
SC #285,Irrigated Cropping,0
SC #285,Horticulture,0
SC #285,Conservation,15250154.743454
SC #285,Urban,0
SC #285,Dryland Cropping,0
SC #285,Forestry,0
SC #254,Grazing Forested,89113894.1518936
SC #254,Grazing Open,74334382.356041
SC #254,Water,0
SC #254,Other,0
SC #254,Sugarcane,0
SC #254,Irrigated Cropping,0
SC #254,Horticulture,0
SC #254,Conservation,0
SC #254,Urban,0
SC #254,Dryland Cropping,0
SC #254,Forestry,0
SC #228,Grazing Forested,24614171.7661285
SC #228,Grazing Open,32698356.2177124
SC #228,Water,0
SC #228,Other,2632.97106933594
SC #228,Sugarcane,0
SC #228,Irrigated Cropping,0
SC #228,Horticulture,2481194.07339478
SC #228,Conservation,211192.734283447
SC #228,Urban,1352452.23750305
SC #228,Dryland Cropping,0
SC #228,Forestry,0
SC #203,Grazing Forested,14846359.2171936
SC #203,Grazing Open,36750460.8915863
SC #203,Water,0
SC #203,Other,202912.774642944
SC #203,Sugarcane,0
SC #203,Irrigated Cropping,0
SC #203,Horticulture,42462.7739181519
SC #203,Conservation,1620553.63626099
SC #203,Urban,1337250.70642853
SC #203,Dryland Cropping,0
SC #203,Forestry,0
SC #281,Grazing Forested,7475609.40370178
SC #281,Grazing Open,9218784.32658386
SC #281,Water,9465560.23956299
SC #281,Other,291753.166503906
SC #281,Sugarcane,64606018.4633942
SC #281,Irrigated Cropping,0
SC #281,Horticulture,13524209.6790924
SC #281,Conservation,11792278.6634979
SC #281,Urban,690569.933822632
SC #281,Dryland Cropping,145216.123596191
SC #281,Forestry,0
SC #353,Grazing Forested,7306821.61602783
SC #353,Grazing Open,46002675.1820526
SC #353,Water,2919651.45405579
SC #353,Other,0
SC #353,Sugarcane,12842210.8207855
SC #353,Irrigated Cropping,0
SC #353,Horticulture,0
SC #353,Conservation,4258640.92707825
SC #353,Urban,0
SC #353,Dryland Cropping,0
SC #353,Forestry,0
SC #410,Grazing Forested,7992102.41436768
SC #410,Grazing Open,49179951.7123108
SC #410,Water,0
SC #410,Other,0
SC #410,Sugarcane,0
SC #410,Irrigated Cropping,0
SC #410,Horticulture,0
SC #410,Conservation,17945.8733215332
SC #410,Urban,0
SC #410,Dryland Cropping,0
SC #410,Forestry,0
SC #431,Grazing Forested,23714167.227005
SC #431,Grazing Open,65892395.8317413
SC #431,Water,0
SC #431,Other,0
SC #431,Sugarcane,0
SC #431,Irrigated Cropping,0
SC #431,Horticulture,0
SC #431,Conservation,0
SC #431,Urban,0
SC #431,Dryland Cropping,0
SC #431,Forestry,0
SC #427,Grazing Forested,238046.280090332
SC #427,Grazing Open,3301953.71987915
SC #427,Water,0
SC #427,Other,0
SC #427,Sugarcane,0
SC #427,Irrigated Cropping,0
SC #427,Horticulture,0
SC #427,Conservation,0
SC #427,Urban,0
