Estimate,Error,p_exc,OBJECTID
1896.903517,299.073619,1,370
1151.974935,254.3883957,0.911793855,145
1068.314538,141.9596437,0.962338949,425
372.2576969,22.81812535,0,95
1052.709303,169.4779274,0.902874133,346
387.9812993,30.93071477,0,84
575.3184574,92.91654066,0.012884044,414
548.0128848,27.36657521,0,225
805.3601697,88.18170635,0.341922696,257
339.8931877,45.65165091,0,173
892.1910429,191.8439926,0.589692765,35
835.8224046,126.9009232,0.434093162,325
1100.707748,215.0856134,0.915758176,179
100.1925981,13.08979259,0,390
1714.146598,242.1834154,1,415
926.6362629,200.6962764,0.637264618,39
880.6172824,139.7763021,0.594648167,25
403.7466734,70.2709504,0,14
181.6469351,24.86091448,0,137
665.7445778,27.43315068,0,174
994.0843664,185.7164252,0.787908821,193
371.1231369,83.42771626,0,13
910.8092018,132.1854743,0.702675917,475
2009.331994,302.0820248,1,358
1648.847132,412.6844039,1,452
561.5210162,108.4400278,0.015857284,241
766.1526677,123.8722793,0.243805748,10
1525.479411,390.5995789,0.995044599,467
524.5537046,93.17589172,0.004955401,0
269.1771246,22.67492407,0,89
588.1718598,102.3826737,0.022794846,310
85.09942699,14.9312457,0,23
382.0660508,41.81626623,0,239
813.2737303,131.0993452,0.35877106,329
416.9752388,69.02827859,0,114
587.4513551,153.7904172,0.064420218,28
1090.984069,153.2481489,0.976214073,394
1000.624546,137.6393758,0.903865213,460
807.3599101,117.177883,0.338949455,355
285.0839143,27.81998947,0,57
481.196723,72.4324971,0.004955401,476
689.4593719,96.03427734,0.078295342,3
798.5585298,100.7607047,0.302279485,433
559.9436669,78.85389941,0.002973241,517
662.8207823,40.81937599,0,292
994.3691107,204.5128314,0.766105055,50
371.8316976,84.08945808,0,24
672.5888269,118.8974988,0.092170466,269
474.1214731,58.04126639,0,335
162.7364234,33.50479154,0,139
1498.802308,153.5784531,1,391
88.8832795,12.66929978,0,448
1473.494811,201.4628743,1,411
2168.9877,207.4341014,1,527
269.1709717,27.182242,0,211
2355.033968,204.3915364,1,456
959.2597842,214.9852512,0.692765114,129
1344.187424,196.558538,1,314
1727.430167,211.1183384,1,479
444.210745,108.719653,0.006937562,243
392.4987302,7.049248931,0,79
942.1811883,190.6437201,0.688800793,208
2008.177177,317.0000965,1,363
261.9929471,44.5565322,0,88
495.4605658,79.50532438,0.00099108,267
1191.820132,281.199674,0.917740337,442
254.3046064,44.16845534,0,31
981.6952075,119.0896477,0.907829534,47
826.7041776,114.3097535,0.426164519,101
1087.471296,159.193461,0.974231913,434
238.5762162,39.24793423,0,127
612.1505783,93.59426431,0.024777007,337
480.5415793,78.21998059,0.00099108,250
887.1084481,154.0857474,0.598612488,246
632.0034815,43.02410127,0,295
946.6184378,184.8229202,0.7135778,54
772.9145298,152.0903035,0.281466799,60
1006.621442,207.3503093,0.789890981,56
883.6199863,197.6025587,0.543111992,33
1845.733686,252.49671,1,369
804.5240503,174.8481438,0.359762141,303
578.1551355,67.88095369,0.00099108,334
1039.507253,187.3404172,0.884043608,67
890.0839746,145.315376,0.622398414,308
674.2700222,136.1846423,0.122893954,233
248.7394738,36.98700954,0,144
399.5670594,29.1999874,0,118
435.8868006,60.54085306,0,209
186.2915406,26.0649506,0,125
718.3213021,183.5805232,0.217046581,4
357.1998437,32.72543054,0,126
1564.327618,181.8737056,1,409
162.8962888,24.57914758,0,156
843.8627581,129.7935663,0.502477701,564
760.6928449,111.0697147,0.220019822,16
742.836933,111.7099507,0.187314172,17
952.2447961,205.7598848,0.689791873,45
460.0210493,108.3311744,0.005946482,265
865.7455504,138.7911353,0.541129832,53
1004.811104,204.4938855,0.78493558,105
327.6495879,50.66412748,0,116
453.6148246,72.36768537,0,38
1463.264808,217.9809426,1,352
1758.34541,182.9501294,1,473
398.275662,58.60438864,0.00099108,70
1266.439279,321.2831821,0.943508424,330
2107.833949,182.7753453,1,544
637.9845321,102.3714646,0.031714569,5
265.3789059,19.87156426,0,140
442.3209608,32.50209415,0,99
528.9094079,94.19695782,0.003964321,247
830.5416748,134.6385834,0.444003964,547
